"182","W PARMER LN / METRIC BLVD",30.41323033,-97.69058871
"183","E CESAR CHAVEZ ST / COMAL ST",30.25851771,-97.72867279
"184","S PLEASANT VALLEY RD / E STASSNEY LN",30.19398417,-97.74469164
"185","S CONGRESS AVE / W BEN WHITE BLVD SVRD WB",30.22340846,-97.76360525
"186","N IH 35 SVRD SB / KORMAN DR",30.43416457,-97.67001514
"187","BURNET RD / W KOENIG LN",30.33485148,-97.73982748
"188","S IH 35 SVRD SB / E BEN WHITE BLVD SVRD EB",30.21575444,-97.75253191
"189","NEWTON ST / W MONROE ST",30.24857923,-97.75251626
"190","GEORGIAN DR / W POWELL LN",30.3475491,-97.70319548
"191","9 MADRONA DR",30.21915602,-97.68527668
"192","WOODWARD ST / E BEN WHITE BLVD SVRD WB",30.21660278,-97.74400947
"193","N IH 35 SVRD SB / E HUNTLAND DR",30.3298417,-97.70585322
"194","E RIVERSIDE DR / TRAVIS HEIGHTS BLVD",30.24983904,-97.73877182
"195","N LAMAR BLVD / W 43RD ST",30.31100941,-97.73931757
"196","E RIVERSIDE DR / BURTON DR",30.24023881,-97.7270435
"197","S IH 35 SVRD NB / E ST ELMO RD",30.21279904,-97.75286421
"198","W 4TH ST / LAVACA ST",30.26687529,-97.74587715
"199","ALAMO ST / ROSEWOOD AVE",30.27001186,-97.71708563
"200","S PLEASANT VALLEY RD / S LAKESHORE BLVD",30.24251243,-97.7171496
"201","W PARMER LN / SPECTRUM DR",30.48168821,-97.76710876
"202","W PARMER LN / N LAMAR BLVD",30.40784843,-97.67822767
"203","N LAMAR BLVD / W 29TH ST",30.29813309,-97.74847805
"204","S CONGRESS AVE / E OLTORF ST",30.23875891,-97.75352625
"205","SPRINGDALE RD / SARA DR",30.27202629,-97.69140593
"206","TOWER TRL / CONNALLY LN",30.29027858,-97.67005238
"207","W 6TH ST / N LAMAR BLVD",30.27153528,-97.75397168
"208","W PARMER LN / ROLLING HILL DR",30.40927321,-97.68235485
"209","W PARMER LN / MC NEIL DR",30.44384767,-97.74239832
"210","BRADBURY LN / SERAFY CT",30.39576164,-97.64749592
"211","GREAT HILLS TRL / RESEARCH BLVD SVRD NB",30.3940755,-97.74599157
"212","LOS CIELOS BLVD / CAMPANA DR",30.16791156,-97.62481825
"213","POND SPRINGS RD / CAHILL DR",30.44338439,-97.77580097
"214","W 5TH ST / N LAMAR BLVD",30.27028842,-97.75460703
"215","E SLAUGHTER TO BRANDT RAMP / BRANDT RD",30.15853664,-97.77663511
"216","E 12TH TO IH 35 NB RAMP / N IH 35 NB",30.27559839,-97.73102579
"217","W PARMER LN / N FM 620 RD NB",30.47599209,-97.76462496
"218","N LAMAR BLVD / W RUNDBERG LN",30.36313807,-97.69702646
"219","W WELLS BRANCH PKWY / N IH 35 SVRD SB",30.44025904,-97.66933249
"220","GUADALUPE ST / W 24TH ST",30.28771804,-97.74155662
"221","AIRPORT BLVD / E 51ST ST",30.31206778,-97.71534628
"222","REEVES CIR / METCALFE RD",30.22628696,-97.73682328
"223","W 29TH ST / N LAMAR BLVD",30.29813309,-97.74847805
"224","NORTHCREST BLVD / W ST JOHNS AVE",30.3366575,-97.71205357
"225","WILLOW CREEK DR / E OLTORF ST",30.22975017,-97.73102275
"226","BASTROP HWY NB / THOMPSON LN",30.23652872,-97.68627638
"227","W WILLIAM CANNON DR / W US 290 HWY",30.23405463,-97.86483587
"228","OLDFORT HILL DR / E MARTIN LUTHER KING JR BLVD",30.28656661,-97.67513675
"229","E WILLIAM CANNON DR / NORTH BLUFF DR",30.19089267,-97.771622
"230","N IH 35 SVRD NB / E 38TH HALF ST",30.29475701,-97.71938777
"231","E 6TH ST / BRAZOS ST",30.26768264,-97.74146079
"232","LADY BIRD LN / THE SHORES DR",30.24330258,-97.72271606
"233","CHALMERS AVE / E 7TH ST",30.26323586,-97.72414146
"234","W 35TH ST / MILLS AVE",30.30573365,-97.74922857
"235","N IH 35 SVRD SB / E ST JOHNS AVE",30.33295017,-97.70453834
"236","S IH 35 SVRD NB / E SLAUGHTER LN",30.16703116,-97.78499121
"237","WICKERSHAM LN / E RIVERSIDE DR",30.23238079,-97.72041405
"238","MILLRACE DR / LOYOLA LN",30.30303569,-97.65715139
"239","WOODLAND AVE / BURTON DR",30.23595863,-97.72849885
"240","E BRAKER LN / OAKWOOD DR",30.37855904,-97.68019831
"241","MONTOPOLIS DR / E RIVERSIDE DR",30.22492937,-97.70344663
"242","N LAMAR BLVD / W POWELL LN",30.35080947,-97.70916052
"243","JOLLYVILLE RD / MORADO CIR",30.40390959,-97.74784403
"244","ROGGE LN / MANOR RD",30.3045501,-97.68131692
"245","WICKERSHAM LN / E OLTORF ST",30.22565569,-97.72430155
"246","E 5TH ST / CHICON ST",30.26073106,-97.72296401
"247","N SH 130 SVRD NB / E US 290 HWY SVRD EB",30.34034074,-97.59031872
"248","WEST GATE BLVD / SAGEBRUSH TRL",30.22808212,-97.80190519
"249","S MOPAC EXPY SVRD NB / BEE CAVES RD",30.26532309,-97.7823112
"250","E 11TH ST / N IH 35 SVRD SB",30.27055637,-97.73329735
"251","E BRAKER LN / N IH 35 SVRD SB",30.37712081,-97.6764884
"252","TANNEHILL LN / E MARTIN LUTHER KING JR BLVD",30.28630752,-97.66941403
"253","NASH HERNANDEZ SR RD / COMAL ST",30.25106283,-97.73212105
"254","E WILLIAM CANNON DR / S PLEASANT VALLEY RD",30.17967225,-97.74690478
"255","GAULT ST / W ANDERSON LN",30.35028001,-97.71851741
"256","W 3RD ST / WEST AVE",30.26761189,-97.75157973
"257","CONGRESS AVE / E MARTIN LUTHER KING JR BLVD",30.28068725,-97.73811379
"258","N IH 35 SVRD NB / E 7TH ST",30.26656888,-97.73386417
"259","W 5TH ST / COLORADO ST",30.26747682,-97.74447639
"260","SPICEWOOD SPRINGS RD / RUSTIC ROCK DR",30.4301452,-97.78123675
"261","E 7TH ST / N IH 35 SVRD NB",30.26656888,-97.73386417
"262","W CESAR CHAVEZ TO MOPA NB RAMP / N MOPAC EXPY NB",30.28371834,-97.76515603
"263","CARPENTER AVE / SLAYTON DR",30.35698607,-97.69705507
"264","OAK HOLLOW CIR / QUAIL VALLEY BLVD",30.37766887,-97.70899108
"265","N LAMAR BLVD / THURMOND ST",30.35335032,-97.70564414
"266","GEORGIAN DR / W FAWNRIDGE DR",30.35839135,-97.6950408
"267","SPRINGDALE RD / E 7TH ST",30.25603536,-97.70168061
"268","E 17TH ST / HARVEY ST",30.28007257,-97.70511957
"269","SAN MARCOS ST / E 6TH ST",30.26508455,-97.73255121
"270","W 21ST ST / WHITIS AVE",30.28373639,-97.74078254
"271","S 1ST ST / W OLTORF ST",30.24211056,-97.75962949
"272","SAN JACINTO BLVD / E 7TH ST",30.26829479,-97.74004387
"273","CLUBVIEW AVE / KASPER ST",30.22703376,-97.70574256
"274","E STASSNEY LN / TERI RD",30.19128964,-97.73116266
"275","PEARL ST / W 22ND ST",30.28536775,-97.74651914
"276","E 38TH HALF ST / N IH 35 SVRD NB",30.29475701,-97.71938777
"277","E CESAR CHAVEZ ST / N PLEASANT VALLEY RD",30.25298738,-97.71278851
"278","W KOENIG LN / GUADALUPE ST",30.32350086,-97.72383698
"279","SAN JACINTO BLVD / TRINITY ST",30.28037089,-97.73431008
"280","SWEENEY LN / MANOR RD",30.30646029,-97.68005672
"281","RESEARCH BLVD SVRD NB / N CAPITAL OF TEXAS HWY SB",30.3897923,-97.74431086
"282","N LAMAR BLVD / W 5TH ST",30.27028842,-97.75460703
"283","W US 290 HWY / W WILLIAM CANNON DR",30.23405463,-97.86483587
"284","YATES AVE / RICHCREEK RD",30.3475343,-97.72807039
"285","TRINITY ST / E 10TH ST",30.27082348,-97.73792584
"286","MASTERSON PASS / N LAMAR BLVD",30.37117159,-97.69246447
"287","E 2ND ST / NAVASOTA ST",30.26011129,-97.7302171
"288","MANCHACA RD / W DITTMAR RD",30.18592646,-97.81631224
"289","E 7TH ST / CONGRESS AVE",30.26896562,-97.74247831
"290","BOOKER AVE / BENNETT AVE",30.32961439,-97.70134135
"291","E 7TH ST / RED RIVER ST",30.26740172,-97.73682331
"292","FAR WEST BLVD / WOOD HOLLOW DR",30.35340983,-97.7531396
"293","RADAM CIR / W STASSNEY LN",30.21206764,-97.79068425
"294","E 4TH ST / N IH 35 SVRD NB",30.26379398,-97.73482286
"295","SAMSUNG BLVD / LONG VOYAGE DR",30.36212614,-97.63854329
"296","HARRIS RIDGE BLVD / WEATHERFORD DR",30.40799962,-97.64953484
"297","N LAMAR BLVD / W KOENIG LN",30.32594189,-97.72634218
"298","S 1ST ST / W WILLIAM CANNON DR",30.19709607,-97.78782978
"299","W 2ND ST / CONGRESS AVE",30.26431941,-97.74420303
"300","VILLAGE LN / S PLEASANT VALLEY RD",30.19315198,-97.74461263
"301","E RIVERSIDE TO IH 35 NB RAMP / N IH 35 NB",30.25408392,-97.73651931
"302","SAN MARCOS ST / E 7TH ST",30.26602454,-97.73211399
"303","MANOR RD / ED BLUESTEIN BLVD SVRD SB",30.3152824,-97.66357679
"304","E 46TH ST / AIRPORT BLVD",30.30484886,-97.71592248
"305","N FM 620 RD SB / NORTH LAKE CREEK PKWY",30.47106155,-97.79022767
"306","CONVICT HILL RD / BRODIE LN",30.21135339,-97.83192291
"307","LOYOLA LN / ED BLUESTEIN BLVD SB",30.30262867,-97.66097584
"308","TILLERY ST / E MARTIN LUTHER KING JR BLVD",30.2829099,-97.701718
"309","S LAMAR BLVD / COLLIER ST",30.25120639,-97.76513689
"310","PROVINES DR / N LAMAR BLVD",30.37673673,-97.6893144
"311","FLORES ST / N IH 35 SVRD NB",30.25377008,-97.73623312
"312","MC KINNEY FALLS PKWY / BURLESON RD",30.19199735,-97.69839401
"313","N LAMAR BLVD / W 45TH ST",30.31346102,-97.73760326
"314","DESSAU RD / E PARMER LN",30.38700156,-97.64854574
"315","E 3RD ST / COMAL ST",30.26033188,-97.7278096
"316","N IH 35 SVRD NB / E ST JOHNS AVE",30.33257841,-97.70371141
"317","S CONGRESS AVE / CIRCLE S RD",30.19702592,-97.77712999
"318","WIER HILLS RD / OLD BEE CAVES RD",30.24711765,-97.8829921
"319","MANOR RD / PECAN SPRINGS RD",30.30102343,-97.68514133
"320","E RIVERSIDE DR / MONTOPOLIS DR",30.22492937,-97.70344663
"321","SAN ANTONIO ST / W MARTIN LUTHER KING JR BLVD",30.28209702,-97.74322232
"322","W 24TH ST / RIO GRANDE ST",30.28793535,-97.74468827
"323","VAUGHAN ST / MC CURDY ST",30.29120021,-97.6974701
"324","W 8TH ST / LAVACA ST",30.27057407,-97.74449473
"325","E 5TH ST / NECHES ST",30.26584242,-97.73859522
"326","GRACY FARMS LN / METRIC BLVD",30.39827779,-97.70444186
"327","E OLTORF ST / WICKERSHAM LN",30.22565569,-97.72430155
"328","E 12TH ST / N IH 35 SVRD NB",30.27186722,-97.73189002
"329","GREENLAWN PKWY / BURNET RD",30.34825463,-97.7357854
"330","S PLEASANT VALLEY RD / E OLTORF ST",30.22745636,-97.72777483
"331","LITTLE TEXAS LN / S IH 35 SVRD SB",30.19747653,-97.76542533
"332","E RUNDBERG LN / N IH 35 SVRD SB",30.35842551,-97.6885541
"333","RADCLIFF DR / GRAND CANYON DR",30.32884662,-97.69382907
"334","CLAYTON LN / SHERIDAN AVE",30.31850158,-97.70221511
"335","LAKEHURST DR / ROCKRIDGE DR",30.18268051,-97.75464674
"336","WALLER ST / NASH HERNANDEZ SR RD",30.25243006,-97.73552468
"337","BANISTER LN / GARDEN VILLA LN",30.22923559,-97.77414278
"338","CAMERON RD / CORONADO HILLS DR",30.32903752,-97.69041232
"339","S 1ST ST / W DITTMAR RD",30.1838971,-97.79266017
"340","POND SPRINGS RD / ANDERSON MILL RD",30.45038338,-97.78531328
"341","SPRINGDALE RD / WEBBERVILLE RD",30.27648406,-97.68857775
"342","CHICON ST / MANOR RD",30.28381229,-97.72216869
"343","S IH 35 SVRD NB / WOODWARD ST",30.22302173,-97.74712478
"344","TERI RD / NUCKOLS CROSSING RD",30.19499404,-97.73778776
"345","W 8TH ST / COLORADO ST",30.27026636,-97.74342249
"346","WOODLAND AVE / S IH 35 SVRD NB",30.24063396,-97.7364787
"347","LEDESMA RD / MANSELL AVE",30.27332907,-97.68869587
"348","W 5TH ST / GUADALUPE ST",30.26809258,-97.74663983
